Year,Q1,Q2,Q3,Q4,Q1milU,Q2milU,Q3milU,Q4milU,ModelMake,Region,,,,,,,,,,,,,,,,,,
2016,6.340294057,4.340193271,3.405004136,3.85860902,6340294.057,4340193.271,3405004.136,3858609.02,Apple,Canada,,,,,,,,,,,,,,,,,,
2017,7.334886473,4.755637213,3.844046392,4.373387413,7334886.473,4755637.213,3844046.392,4373387.413,Apple,Canada,,,,,,,,,,,,,,,,,,
2018,7.515806491,5.075988295,4.014521574,4.557891443,7515806.491,5075988.295,4014521.574,4557891.443,Apple,Canada,,,,,,,,,,,,,,,,,,
2010,0.282302,0.282625,0.27132,0.45543,282302,282625,271320,455430,Apple,Africa,,,,,,,,,,,,,,,,,,
2011,0.500496257,0.574769409,0.626853071,0.526075807,500496.2573,574769.4088,626853.0711,526075.8074,Apple,Africa,,,,,,,,,,,,,,,,,,
2012,1.215374094,1.150405393,0.854108739,0.882983717,1215374.094,1150405.393,854108.7385,882983.717,Apple,Africa,,,,,,,,,,,,,,,,,,
2013,1.455717053,1.140144158,0.951592399,1.029571802,1455717.053,1140144.158,951592.399,1029571.802,Apple,Africa,,,,,,,,,,,,,,,,,,
2014,1.611370129,1.380542858,1.111507516,1.240025572,1611370.129,1380542.858,1111507.516,1240025.572,Apple,Africa,,,,,,,,,,,,,,,,,,
2015,2.451909778,2.014009952,1.564915694,1.58203659,2451909.778,2014009.952,1564915.694,1582036.59,Apple,Africa,,,,,,,,,,,,,,,,,,
2016,2.329823641,1.594860553,1.251213124,1.417896147,2329823.641,1594860.553,1251213.124,1417896.147,Apple,Africa,,,,,,,,,,,,,,,,,,
2017,2.69529958,1.747520842,1.41254492,1.607058173,2695299.58,1747520.842,1412544.92,1607058.173,Apple,Africa,,,,,,,,,,,,,,,,,,
2018,2.761780997,1.86523802,1.475188246,1.674856582,2761780.997,1865238.02,1475188.246,1674856.582,Apple,Africa,,,,,,,,,,,,,,,,,,
2010,0.277058,0.277375,0.26628,0.44697,277058,277375,266280,446970,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2011,0.491199113,0.564092578,0.615208742,0.516303501,491199.1132,564092.5777,615208.7416,516303.5014,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2012,1.192797486,1.129035633,0.838242942,0.866581543,1192797.486,1129035.633,838242.9415,866581.5427,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2013,1.42867587,1.11896501,0.93391576,1.010446629,1428675.87,1118965.01,933915.7601,1010446.629,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2014,1.581437557,1.354898099,1.090860317,1.216991042,1581437.557,1354898.099,1090860.317,1216991.042,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2015,2.406363467,1.976598003,1.535846053,1.552648913,2406363.467,1976598.003,1535846.053,1552648.913,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2016,2.286545183,1.565234661,1.227970775,1.391557519,2286545.183,1565234.661,1227970.775,1391557.519,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2017,2.645232096,1.715059154,1.386305695,1.5772057,2645232.096,1715059.154,1386305.695,1577205.7,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
2018,2.710478564,1.830589635,1.447785368,1.643744696,2710478.564,1830589.635,1447785.368,1643744.696,Apple,MiddleEast,,,,,,,,,,,,,,,,,,
